id,statecode,state,county,zipcode,city,latitude,longitude,pop,region
1,AK,AK,ANCHORAGE,99505,JBER,61.31,-149.65,4647,
2,AK,AK,ANCHORAGE,99504,ANCHORAGE,61.17,-149.63,31110,
3,AK,AK,ANCHORAGE,99506,JBER,61.27,-149.79,6290,
4,AK,AK,ANCHORAGE,99503,ANCHORAGE,61.18,-149.88,11361,
5,AK,AK,ANCHORAGE,99501,ANCHORAGE,61.22,-149.85,11113,
6,AK,AK,ANCHORAGE,99508,ANCHORAGE,61.2,-149.82,24660,
7,AK,AK,ANCHORAGE,99502,ANCHORAGE,61.16,-149.99,18918,
8,AK,AK,ANCHORAGE,99507,ANCHORAGE,61.14,-149.76,30403,
9,AK,AK,ANCHORAGE,99511,ANCHORAGE,61.11,-149.86,2929,
10,AK,AK,ANCHORAGE,99513,ANCHORAGE,61.21,-149.88,0,
11,AK,AK,ANCHORAGE,99510,ANCHORAGE,61.22,-149.88,1046,
12,AK,AK,ANCHORAGE,99509,ANCHORAGE,61.17,-149.88,1993,
13,AK,AK,ANCHORAGE,99516,ANCHORAGE,61.08,-149.7,17313,
14,AK,AK,ANCHORAGE,99515,ANCHORAGE,61.11,-149.9,18877,
15,AK,AK,ANCHORAGE,99514,ANCHORAGE,61.2,-149.82,1709,
16,AK,AK,ANCHORAGE,99517,ANCHORAGE,61.19,-149.94,12984,
17,AK,AK,ANCHORAGE,99518,ANCHORAGE,61.15,-149.88,8070,
18,AK,AK,ANCHORAGE,99521,ANCHORAGE,61.2,-149.74,1389,
19,AK,AK,ANCHORAGE,99520,ANCHORAGE,61.21,-149.86,1445,
20,AK,AK,ANCHORAGE,99519,ANCHORAGE,61.19,-149.98,859,
21,AK,AK,ANCHORAGE,99523,ANCHORAGE,61.16,-149.83,1856,
22,AK,AK,ANCHORAGE,99529,ANCHORAGE,61.18,-149.98,0,
23,AK,AK,ANCHORAGE,99524,ANCHORAGE,61.18,-149.89,2247,
24,AK,AK,ANCHORAGE,99522,ANCHORAGE,61.15,-149.92,1597,
25,AK,AK,ANCHORAGE,99530,ANCHORAGE,61.26,-149.97,0,
26,AK,AK,BETHEL,99545,KONGIGANAK,60.78,-161.79,0,
27,AK,AK,ANCHORAGE,99540,INDIAN,61,-149.43,0,
28,AK,AK,LAKE AND PENINSULA,99548,CHIGNIK LAKE,56.23,-158.74,0,
29,AK,AK,ALEUTIANS WEST,99546,ADAK,51.9,-176.67,0,
30,AK,AK,LAKE AND PENINSULA,99549,PORT HEIDEN,57.09,-158.26,0,
31,AK,AK,KODIAK ISLAND,99550,PORT LIONS,57.9,-153.04,0,
32,AK,AK,ALEUTIANS WEST,99547,ATKA,52.23,-174.16,0,
33,AK,AK,BETHEL,99551,AKIACHAK,60.87,-161.42,0,
34,AK,AK,BETHEL,99552,AKIAK,60.9,-161.29,0,
35,AK,AK,DILLINGHAM,99555,ALEKNAGIK,59.24,-158.62,0,
36,AK,AK,WADE HAMPTON,99554,ALAKANUK,62.44,-164.38,0,
37,AK,AK,KENAI PENINSULA,99556,ANCHOR POINT,59.82,-151.59,1802,
38,AK,AK,ALEUTIANS EAST,99553,AKUTAN,54.13,-165.88,0,
39,AK,AK,BETHEL,99557,ANIAK,61.2,-158.6,469,
40,AK,AK,YUKON KOYUKUK,99558,ANVIK,62.63,-160.2,0,
41,AK,AK,BETHEL,99559,BETHEL,60.93,-161.8,5013,
42,AK,AK,BETHEL,99561,CHEFORNAK,60.15,-164.06,0,
43,AK,AK,VALDEZ CORDOVA,99566,CHITINA,61.45,-143.15,0,
44,AK,AK,LAKE AND PENINSULA,99565,CHIGNIK LAGOON,56.3,-158.49,0,
45,AK,AK,WADE HAMPTON,99563,CHEVAK,61.56,-165.38,612,
46,AK,AK,LAKE AND PENINSULA,99564,CHIGNIK,56.3,-158.36,0,
47,AK,AK,ANCHORAGE,99567,CHUGIAK,61.41,-149.17,7692,
48,AK,AK,KENAI PENINSULA,99568,CLAM GULCH,60.21,-151.4,0,
49,AK,AK,ALEUTIANS EAST,99571,COLD BAY,55.92,-160.29,0,
50,AK,AK,DILLINGHAM,99569,CLARKS POINT,58.83,-158.53,0,
51,AK,AK,ANCHORAGE,99577,EAGLE RIVER,61.21,-149.25,23726,
52,AK,AK,VALDEZ CORDOVA,99573,COPPER CENTER,61.68,-145.14,878,
53,AK,AK,VALDEZ CORDOVA,99574,CORDOVA,60.79,-145.61,2250,
54,AK,AK,KENAI PENINSULA,99572,COOPER LANDING,60.49,-149.82,0,
55,AK,AK,BETHEL,99575,CROOKED CREEK,61.86,-157.99,0,
56,AK,AK,DILLINGHAM,99576,DILLINGHAM,58.82,-157.86,2115,
57,AK,AK,BETHEL,99578,EEK,60.19,-162.13,0,
58,AK,AK,LAKE AND PENINSULA,99579,EGEGIK,58.37,-156.8,0,
59,AK,AK,DILLINGHAM,99580,EKWOK,59.35,-157.48,0,
60,AK,AK,WADE HAMPTON,99581,EMMONAK,62.69,-162.96,545,
61,AK,AK,VALDEZ CORDOVA,99586,GAKONA,62.41,-143.41,455,
62,AK,AK,WADE HAMPTON,99585,MARSHALL,61.87,-162.05,0,
63,AK,AK,BETHEL,99589,GOODNEWS BAY,59.19,-161.71,0,
64,AK,AK,ANCHORAGE,99587,GIRDWOOD,60.9,-148.91,1911,
65,AK,AK,VALDEZ CORDOVA,99588,GLENNALLEN,62.1,-145.53,1151,
66,AK,AK,ANCHORAGE,99599,ANCHORAGE,61.21,-149.86,0,
67,AK,AK,YUKON KOYUKUK,99590,GRAYLING,62.89,-160.1,0,
68,AK,AK,YUKON KOYUKUK,99602,HOLY CROSS,62.18,-159.84,0,
69,AK,AK,ALEUTIANS WEST,99591,SAINT GEORGE ISLAND,56.57,-169.63,0,
70,AK,AK,ALEUTIANS EAST,99583,FALSE PASS,54.83,-163.65,0,
71,AK,AK,KENAI PENINSULA,99603,HOMER,59.4,-151.32,8774,
72,AK,AK,KENAI PENINSULA,99605,HOPE,60.84,-149.4,0,
73,AK,AK,WADE HAMPTON,99604,HOOPER BAY,61.6,-165.74,683,
74,AK,AK,KODIAK ISLAND,99608,KARLUK,57.6,-154.33,0,
75,AK,AK,BETHEL,99607,KALSKAG,61.61,-160.2,0,
76,AK,AK,BETHEL,99609,KASIGLUK,60.87,-162.54,0,
77,AK,AK,LAKE AND PENINSULA,99606,ILIAMNA,59.52,-154.4,0,
78,AK,AK,KENAI PENINSULA,99611,KENAI,60.66,-150.9,11185,
79,AK,AK,KENAI PENINSULA,99610,KASILOF,60.28,-151.26,1973,
80,AK,AK,ALEUTIANS EAST,99612,KING COVE,55.08,-162.32,527,
81,AK,AK,BRISTOL BAY,99613,KING SALMON,58.75,-156.54,487,
82,AK,AK,LAKE AND PENINSULA,99613,KING SALMON,58.75,-156.54,487,
83,AK,AK,WADE HAMPTON,99620,KOTLIK,62.84,-163.65,0,
84,AK,AK,KODIAK ISLAND,99615,KODIAK,57.79,-152.4,11442,
85,AK,AK,KODIAK ISLAND,99619,KODIAK,57.79,-152.4,0,
86,AK,AK,BETHEL,99614,KIPNUK,59.93,-164.06,0,
87,AK,AK,BETHEL,99621,KWETHLUK,60.79,-161.42,0,
88,AK,AK,BETHEL,99622,KWIGILLINGOK,59.87,-163.18,0,
89,AK,AK,KODIAK ISLAND,99624,LARSEN BAY,57.48,-153.99,0,
90,AK,AK,MATANUSKA SUSITNA,99623,WASILLA,61.61,-149.58,0,
91,AK,AK,BETHEL,99630,MEKORYUK,60.08,-166.48,0,
92,AK,AK,BETHEL,99626,LOWER KALSKAG,61.51,-160.36,0,
93,AK,AK,YUKON KOYUKUK,99627,MC GRATH,62.51,-154.44,0,
94,AK,AK,LAKE AND PENINSULA,99625,LEVELOCK,58.95,-156.48,0,
95,AK,AK,DILLINGHAM,99628,MANOKOTAK,58.88,-158.93,0,
96,AK,AK,MATANUSKA SUSITNA,99629,WASILLA,61.58,-149.44,1051,
97,AK,AK,KENAI PENINSULA,99631,MOOSE PASS,60.57,-149.45,0,
98,AK,AK,WADE HAMPTON,99632,MOUNTAIN VILLAGE,62.09,-163.71,510,
99,AK,AK,KENAI PENINSULA,99635,NIKISKI,60.91,-150.7,1620,
100,AK,AK,BETHEL,99634,NAPAKIAK,60.67,-162.01,0,
101,AK,AK,LAKE AND PENINSULA,99640,NONDALTON,59.96,-154.87,0,
102,AK,AK,DILLINGHAM,99636,NEW STUYAHOK,59.47,-157.27,0,
103,AK,AK,ALEUTIANS WEST,99638,NIKOLSKI,52.99,-168.82,0,
104,AK,AK,BETHEL,99637,TOKSOOK BAY,60.54,-165.14,0,
105,AK,AK,KENAI PENINSULA,99639,NINILCHIK,60.07,-151.42,1011,
106,AK,AK,BRISTOL BAY,99633,NAKNEK,58.8,-156.73,434,
107,AK,AK,MATANUSKA SUSITNA,99645,PALMER,61.6,-148.46,21020,
108,AK,AK,KODIAK ISLAND,99644,OUZINKIE,57.93,-152.42,0,
109,AK,AK,LAKE AND PENINSULA,99649,PILOT POINT,57.83,-157.13,0,
110,AK,AK,LAKE AND PENINSULA,99647,PEDRO BAY,59.86,-154.03,0,
111,AK,AK,BETHEL,99641,NUNAPITCHUK,60.88,-162.32,0,
112,AK,AK,KODIAK ISLAND,99643,OLD HARBOR,57.21,-153.32,0,
113,AK,AK,WADE HAMPTON,99650,PILOT STATION,61.94,-162.88,0,
114,AK,AK,LAKE AND PENINSULA,99648,PERRYVILLE,55.9,-159.27,0,
115,AK,AK,BETHEL,99655,QUINHAGAK,59.81,-161.71,470,
116,AK,AK,MATANUSKA SUSITNA,99654,WASILLA,61.52,-149.57,27809,
117,AK,AK,BETHEL,99656,RED DEVIL,61.66,-157.69,0,
118,AK,AK,MATANUSKA SUSITNA,99652,BIG LAKE,61.46,-150.09,2380,
119,AK,AK,WADE HAMPTON,99657,RUSSIAN MISSION,61.81,-161.44,0,
120,AK,AK,BETHEL,99651,PLATINUM,58.96,-161.74,0,
121,AK,AK,LAKE AND PENINSULA,99653,PORT ALSWORTH,60.46,-154.19,0,
